INFO:root:10:14:24 Namespace(accumulate=None, batch_size=32, bert_dataset='wiki_cn_cased', bert_model='bert_12_768_12', calib_mode='customize', deploy=False, dev_batch_size=8, dtype='float32', early_stop=None, epochs=4, epsilon=1e-06, gpu=0, log_interval=10, lr=2e-05, max_len=128, model_parameters=None, model_prefix=None, num_calib_batches=5, only_calibration=False, only_inference=False, optimizer='bertadam', output_dir='./output_dir', pretrained_bert_parameters=None, quantized_dtype='auto', round_to=None, seed=6, task_name='XNLI', training_steps=None, warmup_ratio=0.1)
INFO:root:10:14:27 Model file not found. Downloading to /home/hxy/.mxnet/models/bert_12_768_12_wiki_cn_cased-885ebb9a.params.
INFO:root:10:17:12 Namespace(accumulate=None, batch_size=32, bert_dataset='wiki_cn_cased', bert_model='bert_12_768_12', calib_mode='customize', deploy=False, dev_batch_size=8, dtype='float32', early_stop=None, epochs=4, epsilon=1e-06, gpu=0, log_interval=10, lr=2e-05, max_len=128, model_parameters=None, model_prefix=None, num_calib_batches=5, only_calibration=False, only_inference=False, optimizer='bertadam', output_dir='./output_dir', pretrained_bert_parameters=None, quantized_dtype='auto', round_to=None, seed=6, task_name='XNLI', training_steps=None, warmup_ratio=0.1)
INFO:root:10:17:14 Model file not found. Downloading to /data1/hxy/.mxnet/models/bert_12_768_12_wiki_cn_cased-885ebb9a.params.
INFO:root:10:19:25 processing dataset...
INFO:root:10:20:30 Now we are doing BERT classification training on gpu(0)!
INFO:root:10:20:30 training steps=49087
INFO:root:10:21:02 [Epoch 1 Batch 10/12277] loss=1.1346, lr=0.0000000, metrics:accuracy:0.3187
INFO:root:10:21:03 [Epoch 1 Batch 20/12277] loss=1.0992, lr=0.0000001, metrics:accuracy:0.3563
INFO:root:10:21:05 [Epoch 1 Batch 30/12277] loss=1.1247, lr=0.0000001, metrics:accuracy:0.3573
INFO:root:10:21:06 [Epoch 1 Batch 40/12277] loss=1.1240, lr=0.0000002, metrics:accuracy:0.3539
INFO:root:10:21:07 [Epoch 1 Batch 50/12277] loss=1.1207, lr=0.0000002, metrics:accuracy:0.3506
INFO:root:10:21:09 [Epoch 1 Batch 60/12277] loss=1.1260, lr=0.0000002, metrics:accuracy:0.3490
INFO:root:10:21:10 [Epoch 1 Batch 70/12277] loss=1.1192, lr=0.0000003, metrics:accuracy:0.3460
INFO:root:10:21:11 [Epoch 1 Batch 80/12277] loss=1.1062, lr=0.0000003, metrics:accuracy:0.3449
INFO:root:10:21:12 [Epoch 1 Batch 90/12277] loss=1.1034, lr=0.0000004, metrics:accuracy:0.3472
INFO:root:10:21:14 [Epoch 1 Batch 100/12277] loss=1.1046, lr=0.0000004, metrics:accuracy:0.3466
INFO:root:10:21:15 [Epoch 1 Batch 110/12277] loss=1.0828, lr=0.0000004, metrics:accuracy:0.3514
INFO:root:10:21:17 [Epoch 1 Batch 120/12277] loss=1.0847, lr=0.0000005, metrics:accuracy:0.3555
INFO:root:10:21:18 [Epoch 1 Batch 130/12277] loss=1.1046, lr=0.0000005, metrics:accuracy:0.3536
INFO:root:10:21:19 [Epoch 1 Batch 140/12277] loss=1.0979, lr=0.0000006, metrics:accuracy:0.3536
